image_id,send_time,ack_receive_time,RTT_ack,network_delay,preprocess_ms
run_20260504_193111_img_0033,1777903362.9214973,1777903366.2088487,3.287351369857788,1.643675684928894,196.827
run_20260504_193111_img_0034,1777903366.4093182,1777903368.3943808,1.985062599182129,0.9925312995910645,189.679
run_20260504_193111_img_0035,1777903368.5989716,1777903370.5182357,1.9192640781402588,0.9596320390701294,194.664
run_20260504_193111_img_0036,1777903370.7185583,1777903373.8815668,3.163008451461792,1.581504225730896,190.686
run_20260504_193111_img_0037,1777903374.0884576,1777903376.059351,1.970893383026123,0.9854466915130615,196.538
run_20260504_193111_img_0038,1777903376.2659264,1777903378.8656967,2.5997703075408936,1.2998851537704468,194.914
run_20260504_193111_img_0039,1777903379.0717933,1777903382.3310018,3.2592084407806396,1.6296042203903198,196.266
run_20260504_193111_img_0040,1777903382.536543,1777903386.2691488,3.7326059341430664,1.8663029670715332,194.562
run_20260504_193111_img_0041,1777903386.4781814,1777903390.6010413,4.122859954833984,2.061429977416992,198.746
run_20260504_193111_img_0042,1777903390.798674,1777903398.1318529,7.333178758621216,3.666589379310608,186.329
run_20260504_193111_img_0043,1777903398.3399808,1777903399.83105,1.4910690784454346,0.7455345392227173,196.634
run_20260504_193111_img_0044,1777903400.0345016,1777903400.904849,0.8703474998474121,0.43517374992370605,193.101
run_20260504_193111_img_0045,1777903401.1076384,1777903401.9646964,0.857058048248291,0.4285290241241455,192.334
run_20260504_193111_img_0046,1777903402.1717718,1777903403.1410081,0.9692363739013672,0.4846181869506836,197.4
run_20260504_193111_img_0047,1777903403.3463237,1777903404.1330104,0.7866866588592529,0.39334332942962646,195.223
run_20260504_193111_img_0048,1777903404.335315,1777903405.198795,0.8634800910949707,0.43174004554748535,191.708
run_20260504_193111_img_0049,1777903405.4000316,1777903406.120925,0.720893383026123,0.3604466915130615,191.808
run_20260504_193111_img_0050,1777903406.3189554,1777903407.5590396,1.240084171295166,0.620042085647583,188.747
run_20260504_193111_img_0051,1777903407.7620206,1777903408.5431197,0.7810990810394287,0.39054954051971436,193.175
run_20260504_193111_img_0052,1777903408.7441542,1777903409.6100347,0.8658804893493652,0.4329402446746826,191.398
run_20260504_193111_img_0053,1777903409.8119228,1777903410.7028503,0.8909275531768799,0.44546377658843994,192.171
run_20260504_193111_img_0054,1777903410.9061818,1777903411.7241883,0.8180065155029297,0.40900325775146484,193.606
run_20260504_193111_img_0055,1777903411.861199,1777903412.5422347,0.6810357570648193,0.34051787853240967,132.945
run_20260504_193111_img_0056,1777903412.6670845,1777903413.4730227,0.8059382438659668,0.4029691219329834,120.362
run_20260504_193111_img_0057,1777903413.6019511,1777903414.5485713,0.9466202259063721,0.47331011295318604,123.667
run_20260504_193111_img_0058,1777903414.676301,1777903415.2203171,0.5440161228179932,0.2720080614089966,122.044
run_20260504_193111_img_0059,1777903415.3510647,1777903416.0748198,0.7237551212310791,0.36187756061553955,124.915
run_20260504_193111_img_0060,1777903416.1961513,1777903417.02384,0.8276886940002441,0.41384434700012207,117.121
run_20260504_193111_img_0061,1777903417.149088,1777903418.074815,0.925727128982544,0.462863564491272,120.561
run_20260504_193111_img_0062,1777903418.1762168,1777903419.0143867,0.8381698131561279,0.41908490657806396,96.843
run_20260504_193111_img_0063,1777903419.1150973,1777903419.9196725,0.8045752048492432,0.4022876024246216,96.314
run_20260504_193111_img_0064,1777903420.0192041,1777903423.5236983,3.5044941902160645,1.7522470951080322,94.935
run_20260504_193111_img_0065,1777903423.6267047,1777903425.8262866,2.1995818614959717,1.0997909307479858,98.369
run_20260504_193111_img_0066,1777903425.9282715,1777903427.8950408,1.9667692184448242,0.9833846092224121,97.609
run_20260504_193111_img_0067,1777903427.9972184,1777903429.56397,1.5667517185211182,0.7833758592605591,97.162
run_20260504_193111_img_0068,1777903429.6844814,1777903431.0819337,1.3974523544311523,0.6987261772155762,116.404
run_20260504_193111_img_0069,1777903431.2030666,1777903432.3949049,1.191838264465332,0.595919132232666,116.86
run_20260504_193111_img_0070,1777903432.515823,1777903433.9633098,1.4474868774414062,0.7237434387207031,116.363
run_20260504_193111_img_0071,1777903434.0870407,1777903435.2779129,1.1908721923828125,0.5954360961914062,119.112
run_20260504_193111_img_0072,1777903435.4010453,1777903437.1236577,1.7226123809814453,0.8613061904907227,118.028
run_20260504_193111_img_0073,1777903437.2432134,1777903438.7124574,1.4692440032958984,0.7346220016479492,115.413
run_20260504_193111_img_0074,1777903438.8349984,1777903440.1163197,1.2813212871551514,0.6406606435775757,117.796
run_20260504_193111_img_0075,1777903440.2361846,1777903441.4405973,1.2044126987457275,0.6022063493728638,115.776
run_20260504_193111_img_0076,1777903441.557318,1777903442.7702947,1.2129766941070557,0.6064883470535278,112.91
run_20260504_193111_img_0077,1777903442.8916845,1777903444.0042675,1.1125829219818115,0.5562914609909058,116.705
run_20260504_193111_img_0078,1777903444.1215208,1777903445.352935,1.2314143180847168,0.6157071590423584,113.327
run_20260504_193111_img_0079,1777903445.4700954,1777903446.615624,1.1455285549163818,0.5727642774581909,113.236
run_20260504_193111_img_0080,1777903446.7316315,1777903448.080051,1.348419427871704,0.674209713935852,112.235
run_20260504_193111_img_0081,1777903448.2053251,1777903450.0560272,1.8507020473480225,0.9253510236740112,120.257
run_20260504_193111_img_0082,1777903450.2578719,1777903451.8432736,1.5854017734527588,0.7927008867263794,189.922
run_20260504_193111_img_0083,1777903452.0622046,1777903453.8164537,1.754249095916748,0.877124547958374,208.066
run_20260504_193111_img_0084,1777903454.024292,1777903455.7926707,1.768378734588623,0.8841893672943115,197.861
run_20260504_193111_img_0085,1777903456.0130148,1777903456.7083812,0.695366382598877,0.3476831912994385,209.431
