image_id,gt_count,pred_count,tp,fp,fn,precision,recall,f1
run_20260501_192755_img_0233,30,7,0,7,30,0.0,0.0,0.0
run_20260501_192755_img_0234,57,36,0,36,57,0.0,0.0,0.0
run_20260501_192755_img_0235,97,18,0,18,97,0.0,0.0,0.0
run_20260501_192755_img_0236,57,12,0,12,57,0.0,0.0,0.0
run_20260501_192755_img_0237,71,6,0,6,71,0.0,0.0,0.0
run_20260501_192755_img_0238,78,1,0,1,78,0.0,0.0,0.0
run_20260501_192755_img_0239,57,22,0,22,57,0.0,0.0,0.0
run_20260501_192755_img_0240,21,28,0,28,21,0.0,0.0,0.0
run_20260501_192755_img_0241,5,2,0,2,5,0.0,0.0,0.0
run_20260501_192755_img_0242,17,0,0,0,17,0.0,0.0,0.0
run_20260501_192755_img_0243,22,1,0,1,22,0.0,0.0,0.0
run_20260501_192755_img_0244,18,3,0,3,18,0.0,0.0,0.0
run_20260501_192755_img_0245,12,11,0,11,12,0.0,0.0,0.0
run_20260501_192755_img_0246,5,17,0,17,5,0.0,0.0,0.0
run_20260501_192755_img_0247,9,20,0,20,9,0.0,0.0,0.0
run_20260501_192755_img_0248,8,12,0,12,8,0.0,0.0,0.0
run_20260501_192755_img_0249,18,18,0,18,18,0.0,0.0,0.0
run_20260501_192755_img_0250,7,3,0,3,7,0.0,0.0,0.0
run_20260501_192755_img_0251,20,13,0,13,20,0.0,0.0,0.0
run_20260501_192755_img_0252,19,3,0,3,19,0.0,0.0,0.0
run_20260501_192755_img_0253,7,17,0,17,7,0.0,0.0,0.0
run_20260501_192755_img_0254,5,16,0,16,5,0.0,0.0,0.0
run_20260501_192755_img_0255,5,8,0,8,5,0.0,0.0,0.0
run_20260501_192755_img_0256,43,16,0,16,43,0.0,0.0,0.0
run_20260501_192755_img_0257,45,16,0,16,45,0.0,0.0,0.0
run_20260501_192755_img_0258,30,18,0,18,30,0.0,0.0,0.0
run_20260501_192755_img_0259,27,23,0,23,27,0.0,0.0,0.0
run_20260501_192755_img_0260,16,2,0,2,16,0.0,0.0,0.0
run_20260501_192755_img_0261,38,13,0,13,38,0.0,0.0,0.0
run_20260501_192755_img_0262,20,14,0,14,20,0.0,0.0,0.0
run_20260501_192755_img_0263,23,4,0,4,23,0.0,0.0,0.0
run_20260501_192755_img_0264,7,22,0,22,7,0.0,0.0,0.0
run_20260501_192755_img_0265,5,20,0,20,5,0.0,0.0,0.0
run_20260501_192755_img_0266,5,13,0,13,5,0.0,0.0,0.0
run_20260501_192755_img_0267,5,34,0,34,5,0.0,0.0,0.0
run_20260501_192755_img_0268,7,33,0,33,7,0.0,0.0,0.0
run_20260501_192755_img_0269,16,15,0,15,16,0.0,0.0,0.0
run_20260501_192755_img_0270,14,0,0,0,14,0.0,0.0,0.0
run_20260501_192755_img_0271,11,3,0,3,11,0.0,0.0,0.0
run_20260501_192755_img_0272,30,6,0,6,30,0.0,0.0,0.0
run_20260501_192755_img_0273,18,0,0,0,18,0.0,0.0,0.0
run_20260501_192755_img_0274,3,6,0,6,3,0.0,0.0,0.0
run_20260501_192755_img_0275,34,6,0,6,34,0.0,0.0,0.0
run_20260501_192755_img_0276,28,0,0,0,28,0.0,0.0,0.0
run_20260501_192755_img_0277,23,1,0,1,23,0.0,0.0,0.0
run_20260501_192755_img_0278,18,0,0,0,18,0.0,0.0,0.0
run_20260501_192755_img_0279,32,4,0,4,32,0.0,0.0,0.0
run_20260501_192755_img_0280,29,1,0,1,29,0.0,0.0,0.0
run_20260501_192755_img_0281,20,6,0,6,20,0.0,0.0,0.0
