image_id,inference_start,inference_end,latency,queue_wait_ms
run_20260504_193111_img_0055,1777903413.032313,1777903413.0770736,0.04476046562194824,0.0
run_20260504_193111_img_0056,1777903413.9632099,1777903414.0078304,0.044620513916015625,0.529
run_20260504_193111_img_0057,1777903415.0204268,1777903415.0636954,0.043268680572509766,0.533
run_20260504_193111_img_0058,1777903415.7145147,1777903415.7586577,0.044142961502075195,0.0
run_20260504_193111_img_0059,1777903416.5625622,1777903416.606143,0.04358077049255371,0.507
run_20260504_193111_img_0060,1777903417.5149567,1777903417.5552645,0.04030776023864746,0.0
run_20260504_193111_img_0061,1777903418.566516,1777903418.609316,0.042800188064575195,0.514
run_20260504_193111_img_0062,1777903419.5082963,1777903419.5515623,0.04326605796813965,0.0
run_20260504_193111_img_0063,1777903420.397267,1777903420.438969,0.0417017936706543,0.626
run_20260504_193111_img_0064,1777903424.0102024,1777903424.0552824,0.045079946517944336,0.0
run_20260504_193111_img_0065,1777903426.3151324,1777903426.3588612,0.04372882843017578,0.542
run_20260504_193111_img_0066,1777903428.382705,1777903428.4290547,0.04634976387023926,0.0
run_20260504_193111_img_0067,1777903430.050254,1777903430.09494,0.04468584060668945,0.599
run_20260504_193111_img_0068,1777903431.5005698,1777903431.5434601,0.042890310287475586,0.608
run_20260504_193111_img_0069,1777903432.861586,1777903432.9069376,0.045351505279541016,0.0
run_20260504_193111_img_0070,1777903434.4463904,1777903434.489085,0.0426945686340332,0.0
run_20260504_193111_img_0071,1777903435.7448285,1777903435.7904506,0.04562211036682129,0.535
run_20260504_193111_img_0072,1777903437.605336,1777903437.6494074,0.04407143592834473,0.0
run_20260504_193111_img_0073,1777903439.1694236,1777903439.2410862,0.07166266441345215,0.0
run_20260504_193111_img_0074,1777903440.599371,1777903440.6412742,0.04190325736999512,0.532
run_20260504_193111_img_0075,1777903441.9152508,1777903441.9511693,0.035918474197387695,0.0
run_20260504_193111_img_0076,1777903443.2556696,1777903443.3012035,0.04553389549255371,0.0
run_20260504_193111_img_0077,1777903444.4030707,1777903444.4491117,0.046041011810302734,0.0
run_20260504_193111_img_0078,1777903445.8362994,1777903445.8791203,0.04282093048095703,0.518
run_20260504_193111_img_0079,1777903447.0950332,1777903447.1389248,0.04389166831970215,0.0
run_20260504_193111_img_0080,1777903448.5600536,1777903448.6054888,0.045435190200805664,0.0
run_20260504_193111_img_0081,1777903450.5414445,1777903450.5852365,0.043792009353637695,0.0
run_20260504_193111_img_0082,1777903452.3293204,1777903452.3758984,0.04657793045043945,0.0
run_20260504_193111_img_0083,1777903454.2992594,1777903454.3423414,0.04308199882507324,0.0
run_20260504_193111_img_0084,1777903456.2689366,1777903456.3091078,0.040171146392822266,0.507
run_20260504_193111_img_0085,1777903457.1893542,1777903457.2353928,0.04603862762451172,0.0
run_20260504_193111_img_0086,1777903458.467946,1777903458.5134008,0.04545474052429199,0.0
run_20260504_193111_img_0087,1777903459.8792837,1777903459.9191604,0.039876699447631836,0.508
run_20260504_193111_img_0088,1777903461.6797504,1777903461.7252536,0.04550313949584961,0.0
run_20260504_193111_img_0089,1777903462.5183916,1777903462.5652966,0.0469050407409668,0.0
run_20260504_193111_img_0090,1777903463.1936452,1777903463.2388725,0.0452272891998291,0.0
run_20260504_193111_img_0091,1777903463.9989812,1777903464.0432076,0.04422640800476074,0.0
run_20260504_193111_img_0092,1777903464.7792575,1777903464.8219695,0.04271197319030762,1.507
run_20260504_193111_img_0093,1777903467.2592895,1777903467.3052232,0.04593372344970703,0.596
run_20260504_193111_img_0094,1777903468.711414,1777903468.7571995,0.04578542709350586,0.577
run_20260504_193111_img_0095,1777903470.42599,1777903470.4689627,0.042972564697265625,0.0
run_20260504_193111_img_0096,1777903471.9392548,1777903471.9810243,0.04176950454711914,0.0
run_20260504_193111_img_0097,1777903473.3800406,1777903473.4249954,0.044954776763916016,0.0
run_20260504_193111_img_0098,1777903475.0508466,1777903475.0892377,0.03839111328125,0.506
run_20260504_193111_img_0099,1777903475.637394,1777903475.6813073,0.04391336441040039,0.0
run_20260504_193111_img_0100,1777903476.4794455,1777903476.5247278,0.04528236389160156,0.0
run_20260504_193111_img_0101,1777903477.1689384,1777903477.208842,0.03990364074707031,0.0
run_20260504_193111_img_0102,1777903477.920391,1777903477.9593933,0.039002180099487305,0.0
run_20260504_193111_img_0103,1777903478.909999,1777903478.9516585,0.04165959358215332,0.0
run_20260504_193111_img_0104,1777903479.6112545,1777903479.6490526,0.037798166275024414,2.106
run_20260504_193111_img_0105,1777903481.5907052,1777903481.6336277,0.0429224967956543,0.0
run_20260504_193111_img_0106,1777903484.5040047,1777903484.5490963,0.04509162902832031,0.0
run_20260504_193111_img_0107,1777903487.8007069,1777903487.8433185,0.04261159896850586,0.514
run_20260504_193111_img_0108,1777903490.1234102,1777903490.1715333,0.04812312126159668,0.0
run_20260504_193111_img_0109,1777903491.1490412,1777903491.1892974,0.04025626182556152,0.517
run_20260504_193111_img_0110,1777903492.1620927,1777903492.2073781,0.04528546333312988,0.0
run_20260504_193111_img_0111,1777903493.3633423,1777903493.400749,0.03740668296813965,0.0
run_20260504_193111_img_0112,1777903494.2672658,1777903494.3119047,0.044638872146606445,0.0
run_20260504_193111_img_0113,1777903494.947121,1777903494.9893556,0.04223465919494629,0.54
run_20260504_193111_img_0114,1777903495.7758987,1777903495.8213975,0.04549884796142578,0.0
run_20260504_193111_img_0115,1777903496.5400734,1777903496.5810874,0.04101395606994629,0.0
run_20260504_193111_img_0116,1777903497.3008401,1777903497.3408837,0.04004359245300293,0.0
run_20260504_193111_img_0117,1777903498.1189463,1777903498.162553,0.04360675811767578,0.522
run_20260504_193111_img_0118,1777903498.8431242,1777903498.884957,0.041832923889160156,0.52
run_20260504_193111_img_0119,1777903499.6850884,1777903499.7335956,0.0485072135925293,0.0
run_20260504_193111_img_0120,1777903500.5418458,1777903500.586862,0.04501628875732422,0.0
run_20260504_193111_img_0121,1777903501.299243,1777903501.3432875,0.04404449462890625,0.0
run_20260504_193111_img_0122,1777903501.9696803,1777903502.0132067,0.043526411056518555,0.0
run_20260504_193111_img_0123,1777903502.6801925,1777903502.7192695,0.039077043533325195,1.167
run_20260504_193111_img_0124,1777903503.3979738,1777903503.4411542,0.04318046569824219,0.0
run_20260504_193111_img_0125,1777903504.86203,1777903504.9052022,0.04317212104797363,0.0
run_20260504_193111_img_0126,1777903505.9153965,1777903505.9549901,0.03959369659423828,0.0
run_20260504_193111_img_0127,1777903506.9935627,1777903507.0291681,0.035605430603027344,0.0
run_20260504_193111_img_0128,1777903507.9007375,1777903507.9423847,0.04164719581604004,0.0
run_20260504_193111_img_0129,1777903508.8202615,1777903508.858777,0.038515567779541016,0.0
run_20260504_193111_img_0130,1777903510.0480547,1777903510.091391,0.04333639144897461,0.0
run_20260504_193111_img_0131,1777903511.2874968,1777903511.3288867,0.04138994216918945,0.0
run_20260504_193111_img_0132,1777903512.5202358,1777903512.563683,0.043447256088256836,0.0
run_20260504_193111_img_0133,1777903513.6186302,1777903513.6636915,0.045061349868774414,0.0
run_20260504_193111_img_0134,1777903514.800832,1777903514.845207,0.044374942779541016,0.606
run_20260504_193111_img_0135,1777903515.8106396,1777903515.8550966,0.04445695877075195,0.0
run_20260504_193111_img_0136,1777903516.4610114,1777903516.5049093,0.04389786720275879,0.0
run_20260504_193111_img_0137,1777903517.2695627,1777903517.3113523,0.04178953170776367,0.544
run_20260504_193111_img_0138,1777903518.2206492,1777903518.2614455,0.04079627990722656,0.516
run_20260504_193111_img_0139,1777903519.318974,1777903519.3608315,0.04185748100280762,0.0
run_20260504_193111_img_0140,1777903521.2938998,1777903521.3380854,0.044185638427734375,0.611
run_20260504_193111_img_0141,1777903522.829199,1777903522.8689723,0.03977322578430176,0.53
run_20260504_193111_img_0142,1777903527.0218182,1777903527.0623,0.0404818058013916,0.524
