image_id,preprocess_ms,inference_latency_ms,total_latency_ms
run_20260501_171023_img_0215,149.686,1825.017,1974.703
run_20260501_171023_img_0216,150.13,1822.124,1972.253
run_20260501_171023_img_0217,147.898,1815.822,1963.72
run_20260501_171023_img_0218,148.416,1831.797,1980.214
run_20260501_171023_img_0219,147.78,1814.622,1962.402
run_20260501_171023_img_0220,151.093,1825.426,1976.519
run_20260501_171023_img_0221,160.155,1820.232,1980.387
run_20260501_171023_img_0222,146.574,1825.681,1972.255
run_20260501_171023_img_0223,185.124,1821.511,2006.635
run_20260501_171023_img_0224,161.346,1829.059,1990.405
run_20260501_171023_img_0225,162.397,1815.138,1977.534
run_20260501_171023_img_0226,164.833,1858.304,2023.137
run_20260501_171023_img_0227,180.607,1819.165,1999.772
run_20260501_171023_img_0228,185.878,1835.0,2020.877
run_20260501_171023_img_0229,159.883,1819.999,1979.883
run_20260501_171023_img_0230,160.166,1849.15,2009.317
run_20260501_171023_img_0231,183.394,1825.267,2008.661
run_20260501_171023_img_0232,161.246,1743.865,1905.111
run_20260501_171023_img_0233,155.439,1825.893,1981.332
run_20260501_171023_img_0234,161.984,1829.268,1991.252
run_20260501_171023_img_0235,162.13,1817.833,1979.963
run_20260501_171023_img_0236,161.653,1837.608,1999.261
run_20260501_171023_img_0237,163.067,1817.494,1980.56
run_20260501_171023_img_0238,162.305,1828.975,1991.28
run_20260501_171023_img_0239,165.091,1819.935,1985.027
run_20260501_171023_img_0240,155.207,1821.69,1976.897
run_20260501_171023_img_0241,155.751,1821.343,1977.094
run_20260501_171023_img_0242,171.877,1821.368,1993.245
run_20260501_171023_img_0243,161.767,1820.376,1982.143
run_20260501_171023_img_0244,160.778,1828.354,1989.132
run_20260501_171023_img_0245,163.554,1835.094,1998.648
run_20260501_171023_img_0246,186.201,1830.241,2016.442
run_20260501_171023_img_0247,183.704,1813.055,1996.759
run_20260501_171023_img_0248,171.878,1834.063,2005.941
run_20260501_171023_img_0249,161.035,1840.635,2001.67
run_20260501_171023_img_0250,185.71,1825.726,2011.435
run_20260501_171023_img_0251,162.566,1817.224,1979.79
run_20260501_171023_img_0252,162.587,1826.285,1988.872
run_20260501_171023_img_0253,160.488,1821.636,1982.124
run_20260501_171023_img_0254,161.375,1823.665,1985.04
run_20260501_171023_img_0255,160.514,1815.064,1975.577
run_20260501_171023_img_0256,165.721,1835.445,2001.167
run_20260501_171023_img_0257,162.073,1820.032,1982.105
run_20260501_171023_img_0258,161.111,1826.453,1987.565
run_20260501_171023_img_0259,225.186,1834.796,2059.982
run_20260501_171023_img_0260,153.663,1821.743,1975.406
run_20260501_171023_img_0261,156.819,1826.214,1983.033
run_20260501_171023_img_0262,158.561,1823.975,1982.536
run_20260501_171023_img_0263,160.099,1815.436,1975.535
run_20260501_171023_img_0264,166.03,1823.142,1989.172
run_20260501_171023_img_0265,157.267,1817.381,1974.648
run_20260501_171023_img_0266,158.956,1828.299,1987.256
run_20260501_171023_img_0267,156.614,1812.839,1969.453
run_20260501_171023_img_0268,147.607,1824.128,1971.735
run_20260501_171023_img_0269,154.784,1820.773,1975.557
run_20260501_171023_img_0270,154.238,1823.014,1977.251
run_20260501_171023_img_0271,158.232,1820.29,1978.522
run_20260501_171023_img_0272,163.505,1822.078,1985.583
run_20260501_171023_img_0273,159.439,1722.162,1881.601
run_20260501_171023_img_0274,165.663,1831.28,1996.942
run_20260501_171023_img_0275,164.765,1810.489,1975.254
run_20260501_171023_img_0276,164.653,1831.764,1996.416
run_20260501_171023_img_0277,164.349,1818.266,1982.615
run_20260501_171023_img_0278,165.54,1822.993,1988.533
run_20260501_171023_img_0279,164.69,1820.366,1985.056
run_20260501_171023_img_0280,166.105,1826.677,1992.782
run_20260501_171023_img_0281,164.09,1823.943,1988.032
run_20260501_171023_img_0282,162.353,1820.149,1982.503
run_20260501_171023_img_0283,160.889,1812.299,1973.188
run_20260501_171023_img_0284,161.957,1830.16,1992.117
run_20260501_171023_img_0285,162.965,1816.35,1979.315
run_20260501_171023_img_0286,159.914,1833.749,1993.664
run_20260501_171023_img_0287,160.142,1816.173,1976.315
run_20260501_171023_img_0288,162.339,1827.396,1989.734
run_20260501_171023_img_0289,158.632,1825.858,1984.489
run_20260501_171023_img_0290,160.506,1825.931,1986.437
run_20260501_174749_img_0001,421.718,1856.308,2278.026
run_20260501_174749_img_0002,179.904,1796.735,1976.638
run_20260501_174749_img_0003,159.276,1772.946,1932.222
run_20260501_174749_img_0004,139.79,1779.664,1919.455
run_20260501_174749_img_0005,145.864,1772.175,1918.038
run_20260501_174749_img_0006,140.082,1788.299,1928.382
run_20260501_174749_img_0007,144.877,1792.643,1937.52
run_20260501_174749_img_0008,167.32,1769.905,1937.225
run_20260501_174749_img_0009,142.237,1780.963,1923.2
run_20260501_174749_img_0010,139.626,1779.811,1919.437
run_20260501_174749_img_0011,159.075,1777.663,1936.738
run_20260501_174749_img_0012,143.202,1781.16,1924.362
run_20260501_174749_img_0013,143.198,1769.335,1912.533
run_20260501_174749_img_0014,115.145,1773.323,1888.467
run_20260501_174749_img_0015,115.581,1823.105,1938.686
run_20260501_174749_img_0016,152.382,1773.498,1925.881
run_20260501_174749_img_0017,127.401,1775.608,1903.009
run_20260501_174749_img_0018,121.432,1794.8,1916.232
run_20260501_174749_img_0019,123.243,1776.771,1900.013
run_20260501_174749_img_0020,122.263,1779.979,1902.242
run_20260501_174749_img_0021,118.283,1772.893,1891.176
run_20260501_174749_img_0022,123.734,1779.544,1903.278
run_20260501_174749_img_0023,127.224,1793.407,1920.631
run_20260501_174749_img_0024,125.813,1770.005,1895.818
run_20260501_174749_img_0025,119.536,1777.206,1896.743
run_20260501_174749_img_0026,122.703,1770.889,1893.593
run_20260501_174749_img_0027,124.964,1782.879,1907.843
run_20260501_174749_img_0028,181.06,1780.485,1961.545
run_20260501_174749_img_0029,207.778,1773.07,1980.848
run_20260501_174749_img_0030,182.614,1771.937,1954.551
run_20260501_174749_img_0031,191.047,1771.728,1962.775
run_20260501_174749_img_0032,206.06,1773.782,1979.842
run_20260501_174749_img_0033,183.107,1785.302,1968.409
run_20260501_174749_img_0034,202.55,1850.226,2052.775
run_20260501_174749_img_0035,181.522,1775.186,1956.708
run_20260501_174749_img_0036,189.749,1777.632,1967.381
run_20260501_174749_img_0037,207.399,1773.519,1980.919
run_20260501_174749_img_0038,182.105,1779.452,1961.557
run_20260501_174749_img_0039,205.548,1780.223,1985.771
run_20260501_174749_img_0040,184.739,1773.823,1958.562
run_20260501_174749_img_0041,192.314,1776.285,1968.598
run_20260501_174749_img_0042,197.379,1775.499,1972.879
run_20260501_174749_img_0043,182.57,1771.69,1954.26
run_20260501_174749_img_0044,201.677,1775.3,1976.977
run_20260501_174749_img_0045,178.659,1777.921,1956.58
run_20260501_174749_img_0046,192.361,1780.869,1973.231
run_20260501_174749_img_0047,205.937,1768.677,1974.614
run_20260501_174749_img_0048,181.538,1781.079,1962.617
run_20260501_174749_img_0049,204.641,1769.537,1974.178
run_20260501_174749_img_0050,177.059,1772.092,1949.151
run_20260501_174749_img_0051,190.255,1784.061,1974.316
run_20260501_174749_img_0052,202.479,1768.275,1970.754
run_20260501_174749_img_0053,181.31,1782.443,1963.753
run_20260501_174749_img_0054,205.968,1770.342,1976.31
run_20260501_174749_img_0055,141.323,1771.851,1913.173
run_20260501_174749_img_0056,153.763,1775.687,1929.449
run_20260501_174749_img_0057,167.45,1778.235,1945.685
run_20260501_174749_img_0058,144.525,1770.326,1914.851
run_20260501_174749_img_0059,145.11,1774.85,1919.96
run_20260501_174749_img_0060,145.802,1773.826,1919.628
run_20260501_174749_img_0061,148.659,1778.696,1927.354
run_20260501_174749_img_0062,124.531,1769.789,1894.32
run_20260501_174749_img_0063,132.039,1779.178,1911.217
run_20260501_174749_img_0064,126.733,1775.985,1902.718
run_20260501_174749_img_0065,116.444,1770.561,1887.004
run_20260501_174749_img_0066,120.291,1778.831,1899.122
run_20260501_174749_img_0067,124.872,1772.577,1897.448
run_20260501_174749_img_0068,135.995,1773.857,1909.852
run_20260501_174749_img_0069,142.43,1773.323,1915.753
run_20260501_174749_img_0070,146.926,1778.009,1924.935
run_20260501_174749_img_0071,147.779,1907.991,2055.77
run_20260501_174749_img_0072,147.075,1780.303,1927.378
run_20260501_174749_img_0073,141.706,1776.962,1918.668
run_20260501_174749_img_0074,142.697,1788.166,1930.863
run_20260501_174749_img_0075,140.744,1771.086,1911.83
run_20260501_174749_img_0076,136.208,1808.826,1945.035
run_20260501_174749_img_0077,143.829,1797.571,1941.4
run_20260501_174749_img_0078,139.956,1773.585,1913.541
run_20260501_174749_img_0079,137.144,1780.985,1918.129
run_20260501_174749_img_0080,141.673,1776.232,1917.905
run_20260501_174749_img_0081,139.844,1773.792,1913.637
run_20260501_174749_img_0082,195.196,1782.748,1977.945
run_20260501_174749_img_0083,216.016,1770.194,1986.211
run_20260501_174749_img_0084,186.703,1873.358,2060.061
run_20260501_174749_img_0085,220.372,1781.434,2001.806
run_20260501_174749_img_0086,224.38,1775.798,2000.178
run_20260501_174749_img_0087,194.693,1776.331,1971.024
run_20260501_174749_img_0088,216.151,1813.542,2029.694
run_20260501_174749_img_0089,122.973,1811.075,1934.048
run_20260501_174749_img_0090,136.99,1810.048,1947.037
run_20260501_174749_img_0091,149.282,1810.414,1959.696
run_20260501_174749_img_0092,122.369,1807.363,1929.732
run_20260501_174749_img_0093,123.333,1808.341,1931.674
run_20260501_174749_img_0094,123.807,1809.958,1933.764
run_20260501_174749_img_0095,121.938,1822.998,1944.936
run_20260501_174749_img_0096,127.117,1808.035,1935.152
run_20260501_174749_img_0097,130.437,1806.717,1937.153
run_20260501_174749_img_0098,129.871,1812.637,1942.508
run_20260501_174749_img_0099,133.849,1805.712,1939.561
run_20260501_174749_img_0100,146.902,1811.545,1958.447
run_20260501_174749_img_0101,144.679,1807.898,1952.578
run_20260501_174749_img_0102,149.847,1807.136,1956.983
run_20260501_174749_img_0103,144.554,1812.001,1956.554
run_20260501_174749_img_0104,144.209,1806.824,1951.033
run_20260501_174749_img_0105,146.642,1821.6,1968.242
run_20260501_174749_img_0106,142.243,1824.44,1966.683
run_20260501_174749_img_0107,142.719,1808.229,1950.947
run_20260501_174749_img_0108,144.436,1806.21,1950.647
run_20260501_174749_img_0109,146.048,1813.144,1959.191
run_20260501_174749_img_0110,145.813,1808.533,1954.346
run_20260501_174749_img_0111,148.464,1808.367,1956.831
run_20260501_174749_img_0112,145.982,1815.274,1961.256
run_20260501_174749_img_0113,136.856,1816.772,1953.628
run_20260501_174749_img_0114,150.02,1974.009,2124.029
run_20260501_174749_img_0115,143.818,1814.101,1957.918
run_20260501_174749_img_0116,148.092,1806.843,1954.935
run_20260501_174749_img_0117,142.851,1864.619,2007.47
run_20260501_174749_img_0118,147.568,1810.473,1958.041
run_20260501_174749_img_0119,145.256,1806.892,1952.147
run_20260501_174749_img_0120,143.899,1804.296,1948.195
run_20260501_174749_img_0121,148.147,1818.381,1966.528
run_20260501_174749_img_0122,142.17,1809.191,1951.362
run_20260501_174749_img_0123,147.263,1810.732,1957.995
run_20260501_174749_img_0124,146.42,1805.64,1952.061
run_20260501_174749_img_0125,145.411,1800.639,1946.05
run_20260501_174749_img_0126,145.437,1802.699,1948.135
run_20260501_174749_img_0127,143.477,1802.916,1946.392
run_20260501_174749_img_0128,145.225,1801.373,1946.598
run_20260501_174749_img_0129,144.473,1810.643,1955.116
run_20260501_174749_img_0130,146.749,1805.377,1952.126
run_20260501_174749_img_0131,147.406,1801.837,1949.243
run_20260501_174749_img_0132,149.752,1801.079,1950.831
run_20260501_174749_img_0133,147.614,1804.087,1951.701
run_20260501_174749_img_0134,145.801,1798.067,1943.868
run_20260501_174749_img_0135,141.413,1794.356,1935.769
run_20260501_174749_img_0136,144.484,1834.822,1979.306
run_20260501_174749_img_0137,148.743,1813.301,1962.045
run_20260501_174749_img_0138,149.664,1805.414,1955.078
run_20260501_174749_img_0139,143.785,1800.954,1944.738
run_20260501_174749_img_0140,141.561,1805.829,1947.39
run_20260501_174749_img_0141,143.157,1795.448,1938.605
