image_id,preprocess_ms,network_delay_ms,inference_latency_ms,total_latency_ms
20260504_193111_img_0134,129.245,516.2197351455688,44.374942779541,689.8396779251099
20260504_193111_img_0135,123.333,443.3079957962036,44.456958770751896,611.0979545669555
20260504_193111_img_0136,118.708,262.850284576416,43.8978672027587,425.45615177917466
20260504_193111_img_0137,121.724,344.0898656845093,41.7895317077636,507.6033973922729
20260504_193111_img_0138,124.7,407.3312282562256,40.7962799072265,572.8275081634521
20260504_193111_img_0139,125.788,519.9853181838989,41.8574810028076,687.6307991867066
20260504_193111_img_0140,123.167,889.3804550170898,44.1856384277343,1056.733093444824
20260504_193111_img_0141,117.41,715.2436971664429,39.7732257843017,872.4269229507446
20260504_193111_img_0142,116.414,2023.9065885543823,40.4818058013916,2180.802394355774
20260504_193111_img_0143,117.771,984.117865562439,42.0434474945068,1143.9323130569458
20260504_193111_img_0144,121.114,434.3597888946533,41.5749549865722,597.0487438812255
20260504_193111_img_0145,119.67,386.2524032592773,44.2910194396972,550.2134226989745
20260504_193111_img_0146,116.349,343.6212539672851,37.3213291168212,497.2915830841063
20260504_193111_img_0147,114.857,244.559645652771,37.2228622436523,396.6395078964233
20260504_193111_img_0148,118.986,292.9446697235107,41.9988632202148,453.9295329437255
20260504_193111_img_0149,115.537,285.6310606002807,38.977861404418896,440.1459220046996
20260504_193111_img_0150,113.453,231.2649488449096,38.4008884429931,383.1188372879027
20260504_193111_img_0151,121.585,369.3842887878418,39.9568080902099,530.9260968780517
20260504_193111_img_0152,121.686,289.3121242523193,41.2027835845947,452.200907836914
20260504_193111_img_0153,128.417,358.4060668945312,45.0403690338134,531.8634359283446
20260504_193111_img_0154,125.333,295.5300807952881,43.6418056488037,464.50488644409177
20260504_193111_img_0155,119.146,368.8124418258667,44.5587635040283,532.517205329895
20260504_193111_img_0156,118.744,324.1492509841919,41.5256023406982,484.4188533248901
20260504_193111_img_0157,133.282,526.9418954849243,43.4374809265136,703.6613764114379
20260504_193111_img_0158,125.578,527.6730060577393,43.9412593841552,697.1922654418944
20260504_193111_img_0159,125.02,400.9960889816284,44.4545745849609,570.4706635665893
20260504_193111_img_0160,123.731,464.946985244751,42.8082942962646,631.4862795410156
20260504_193111_img_0161,120.955,357.2005033493042,42.0536994934082,520.2092028427124
20260504_193111_img_0162,120.5,328.7574052810669,43.5974597930908,492.8548650741577
20260504_193111_img_0163,120.376,359.1582775115967,47.3372936248779,526.8715711364746
20260504_193111_img_0164,120.71,482.7607870101928,41.2025451660156,644.6733321762084
20260504_193111_img_0165,120.977,342.3513174057007,37.2812747955322,500.6095922012329
20260504_193111_img_0166,119.116,369.1452741622925,58.6483478546142,546.9096220169067
20260504_193111_img_0167,122.829,369.5141077041626,43.6863899230957,536.0294976272583
20260504_193111_img_0168,120.589,356.6524982452392,37.0240211486816,514.2655193939208
20260504_193111_img_0169,121.8,332.6234817504883,42.4509048461914,496.8743865966797
20260504_193111_img_0170,118.685,324.6066570281982,56.9119453430175,500.2036023712157
20260504_193111_img_0171,128.068,492.3913478851318,45.3073978424072,665.7667457275389
20260504_193111_img_0172,121.935,417.5822734832763,46.7679500579834,586.2852235412597
20260504_193111_img_0173,121.869,451.4268636703491,46.1788177490234,619.4746814193725
20260504_193111_img_0174,119.677,295.9897518157959,44.4691181182861,460.135869934082
20260504_193111_img_0175,119.264,291.123628616333,49.6020317077636,459.98966032409663
20260504_193111_img_0176,124.55,406.4186811447143,37.9495620727539,568.9182432174682
20260504_193111_img_0177,124.193,385.5022192001343,40.736436843872,550.4316560440063
20260504_193111_img_0178,102.533,424.149751663208,45.6137657165527,572.2965173797606
20260504_193111_img_0179,99.6,358.6872816085815,43.4188842773437,501.7061658859252
20260504_193111_img_0180,100.125,312.1567964553833,45.3443527221679,457.6261491775512
20260504_193111_img_0181,100.025,364.0297651290893,41.3758754730224,505.4306406021117
20260504_193111_img_0182,131.679,451.1885643005371,41.6359901428222,624.5035544433593
20260504_193111_img_0183,130.274,412.6975536346435,45.3059673309326,588.2775209655761
20260504_193111_img_0184,131.932,421.7253923416137,47.1165180206298,600.7739103622436
20260504_193111_img_0185,132.115,501.2426376342773,41.6259765625,674.9836141967774
20260504_193111_img_0186,131.581,382.5081586837768,43.217658996582,557.3068176803588
20260504_193111_img_0187,130.346,418.4190034866333,42.3684120178222,591.1334155044556
20260504_193111_img_0188,127.697,394.3148851394653,44.574499130249,566.5863842697142
20260504_193111_img_0189,131.294,612.1453046798706,42.6366329193115,786.0759375991821
20260504_193111_img_0190,135.861,421.168565750122,41.2473678588867,598.2769336090087
20260504_193111_img_0191,139.192,437.1843338012695,47.9710102081298,624.3473440093993
20260504_193111_img_0192,139.734,416.0621166229248,42.3834323883056,598.1795490112304
20260504_193111_img_0193,133.635,393.8808441162109,44.5785522460937,572.0943963623046
20260504_193111_img_0194,132.155,366.9148683547973,38.4821891784668,537.5520575332641
20260504_193111_img_0195,129.563,439.0286207199096,42.5381660461425,611.1297867660521
20260504_193111_img_0196,134.337,472.2018241882324,41.649580001831,648.1884041900635
20260504_193111_img_0197,131.962,493.9559698104858,39.0210151672363,664.938984977722
20260504_193111_img_0198,132.947,372.6511001586914,49.9460697174072,555.5441698760986
20260504_193111_img_0199,129.601,302.8764724731445,41.3432121276855,473.82068460083
20260504_193111_img_0200,131.231,329.8804759979248,42.582273483276296,503.6937494812011
